# input<TAB>expected<TAB>language<TAB>decision
достопрмечательность	достопримечательность	ru	apply
взаимопонмание	взаимопонимание	ru	apply
предприимчвость	предприимчивость	ru	apply
непредсказумость	непредсказуемость	ru	apply
самосовершенствовние	самосовершенствование	ru	apply
удовлетварённость	удовлетворённость	ru	apply
противоречвость	противоречивость	ru	apply
последователность	последовательность	ru	apply
целеустрмлённость	целеустремлённость	ru	apply
добросовесность	добросовестность	ru	apply
непосредственость	непосредственность	ru	apply
предрасположеность	предрасположенность	ru	apply
осведомлёность	осведомлённость	ru	apply
заинтересованость	заинтересованность	ru	apply
сосредоточеность	сосредоточенность	ru	apply
благопрятный	благоприятный	ru	apply
предварителный	предварительный	ru	apply
исключителный	исключительный	ru	apply
приблизителный	приблизительный	ru	apply
самостоятелный	самостоятельный	ru	apply
обстоятелство	обстоятельство	ru	apply
доказателство	доказательство	ru	apply
свидетелство	свидетельство	ru	apply
правопреемнк	правопреемник	ru	apply
законодателство	законодательство	ru	apply
усовершенствовние	усовершенствование	ru	apply
функционировние	функционирование	ru	apply
взаимодействе	взаимодействие	ru	apply
сотрудничетво	сотрудничество	ru	apply
сопоставлние	сопоставление	ru	apply
предположние	предположение	ru	apply
предназначние	предназначение	ru	apply
предостережние	предостережение	ru	apply
предотвращние	предотвращение	ru	apply
распрострнение	распространение	ru	apply
происхождние	происхождение	ru	apply
преобразовние	преобразование	ru	apply
воспроизведние	воспроизведение	ru	apply
соприкосновние	соприкосновение	ru	apply
приспособлние	приспособление	ru	apply
разочаровние	разочарование	ru	apply
злоупотреблние	злоупотребление	ru	apply
противостояне	противостояние	ru	apply
мировоззрние	мировоззрение	ru	apply
самоопределние	самоопределение	ru	apply
самоутверждние	самоутверждение	ru	apply
неудовлетварённость	неудовлетворённость	ru	apply
интелектуальный	интеллектуальный	ru	apply
професиональный	профессиональный	ru	apply
териториальный	территориальный	ru	apply
эксперементальный	экспериментальный	ru	apply
диференциальный	дифференциальный	ru	apply
идентификаця	идентификация	ru	apply
классификаця	классификация	ru	apply
систематизаця	систематизация	ru	apply
персонификаця	персонификация	ru	apply
интерпретаця	интерпретация	ru	apply
конфигураця	конфигурация	ru	apply
синхронизаця	синхронизация	ru	apply
авторизаця	авторизация	ru	apply
аутентификаця	аутентификация	ru	apply
реструктуризаця	реструктуризация	ru	apply
децентрализаця	децентрализация	ru	apply
инфраструктра	инфраструктура	ru	apply
архитектра	архитектура	ru	apply
номенклатра	номенклатура	ru	apply
температра	температура	ru	apply
литератра	литература	ru	apply
клавиатра	клавиатура	ru	apply
магистратра	магистратура	ru	apply
прокуратра	прокуратура	ru	apply
конфиденциалность	-	ru	no_change
здравоохранение	-	ru	no_change
последовательность	-	ru	no_change
